title,service_name,is_cloud
Abusive Experience Report API,abusiveexperiencereport.googleapis.com,False
Accelerated Mobile Pages (AMP) URL API,acceleratedmobilepageurl.googleapis.com,False
Access Approval API,accessapproval.googleapis.com,True
Access Context Manager API,accesscontextmanager.googleapis.com,True
Actions API,actions.googleapis.com,False
Ad Exchange Buyer API,adexchangebuyer-json.googleapis.com,False
Ad Exchange Buyer API II,adexchangebuyer.googleapis.com,False
Ad Exchange Seller API,adexchangeseller.googleapis.com,False
Ad Experience Report API,adexperiencereport.googleapis.com,False
Admin SDK,admin.googleapis.com,True
AdMob API,admob.googleapis.com,False
AdSense Management API,adsense.googleapis.com,False
AdSense Host API,adsensehost.googleapis.com,False
G Suite Alert Center API,alertcenter.googleapis.com,False
Google Analytics API,analytics.googleapis.com,False
Analytics Reporting API,analyticsreporting.googleapis.com,False
Android Device Verification,androidcheck.googleapis.com,False
Android Device Provisioning Partner API,androiddeviceprovisioning.googleapis.com,False
Google Play EMM API,androidenterprise.googleapis.com,False
Android Management API,androidmanagement.googleapis.com,False
Android Over the Air API,androidovertheair.googleapis.com,False
Google Play Android Developer API,androidpublisher.googleapis.com,False
Anthos API,anthos.googleapis.com,True
Anthos Audit API,anthosaudit.googleapis.com,True
Anthos GKE API,anthosgke.googleapis.com,True
Apigee API,apigee.googleapis.com,True
App Engine Admin API,appengine.googleapis.com,True
Google App Engine Flexible Environment,appengineflex.googleapis.com,True
Apps Activity API,appsactivity.googleapis.com,False
G Suite Marketplace SDK,appsmarket-component.googleapis.com,False
G Suite Marketplace API,appsmarket.googleapis.com,False
ARCore Cloud Anchor API,arcorecloudanchor.googleapis.com,False
Artifact Registry API,artifactregistry.googleapis.com,True
Audit API,audit.googleapis.com,False
Cloud AutoML API,automl.googleapis.com,True
BigQuery API,bigquery.googleapis.com,True
BigQuery Connection API,bigqueryconnection.googleapis.com,True
BigQuery Data Transfer API,bigquerydatatransfer.googleapis.com,True
BigQuery Reservation API,bigqueryreservation.googleapis.com,True
BigQuery Storage API,bigquerystorage.googleapis.com,True
Cloud Bigtable API,bigtable.googleapis.com,True
Cloud Bigtable Admin API,bigtableadmin.googleapis.com,True
Cloud Bigtable Table Admin API,bigtabletableadmin.googleapis.com,True
Cloud Billing Budget API,billingbudgets.googleapis.com,True
Binary Authorization API,binaryauthorization.googleapis.com,True
